report_id,report_type,site,activity,report_text,language,sif_potential,life_saving_rule
V4-03967,Safety Observation,Tank Farm,welding,"while preparing the work area, at Maintenance Workshop, Work involving welding was observed. At the time, the crew began welding after the required authorization was confirmed. The supervisor reviewed the situation.",English,NO,Hot Work
V4-03701,Unsafe Condition,Gas Processing Unit,grinding,"during a planned maintenance window, at Refinery Area A, The team was carrying out grinding when the crew began grinding after the work area had been adequately controlled. The condition was discussed with the crew.",English,NO,Hot Work
V4-02718,Unsafe Condition,Tank Farm,lifting operation,"during the morning shift, at Gas Processing Unit, During lifting operation, it was observed that workers remained outside the area beneath the suspended load. The supervisor reviewed the situation.",English,NO,Line of Fire
V4-00405,Unsafe Act,Utility Section,valve maintenance,"during the afternoon shift, at Gas Processing Unit, Work involving valve maintenance was observed. At the time, the crew began work without confirming the relevant energy isolation. The activity was brought to the attention of the supervisor.",English,YES,Energy Isolation
V4-03567,Unsafe Act,Production Area B,welding,"during a planned maintenance window, at Gas Processing Unit, The crew was engaged in welding; welding began after the required gas test had been completed. The condition was discussed with the crew.",English,NO,Hot Work
V4-01051,Unsafe Condition,Pipeline Station 3,tank cleaning,"during a planned maintenance window, at Production Area B, A field observation was recorded during tank cleaning: cleaning began while the required entry controls were still being verified. The observation was reported to the site team.",English,YES,Confined Space
V4-00916,Unsafe Condition,Production Area B,pipeline maintenance,"At Process Unit, The report relates to pipeline maintenance. At the time of the observation, work started only after all relevant energy sources were isolated and verified.",English,NO,Energy Isolation
V4-01709,Unsafe Condition,Process Unit,tank cleaning,"during the morning shift, at Process Unit, Work involving tank cleaning was observed. At the time, personnel entered the tank after the atmosphere had been checked. The observation was reported to the site team.",English,NO,Confined Space
V4-00896,Near Miss,Refinery Area A,pump maintenance,"during the morning shift, at Tank Farm, While pump maintenance was underway, maintenance began after the isolation points had been confirmed. The work area was subsequently reviewed.",English,NO,Energy Isolation
V4-02593,Safety Observation,Refinery Area A,crane operation,"during a planned maintenance window, at Loading Terminal, During crane operation, it was observed that workers remained outside the suspended-load area while it was moving.",English,NO,Line of Fire
V4-01055,Unsafe Condition,Gas Processing Unit,vessel inspection,"during a planned maintenance window, at Compressor Station 2, While vessel inspection was underway, entry began while the required gas test was still pending. The activity was brought to the attention of the supervisor.",English,YES,Confined Space
V4-03497,Unsafe Condition,Tank Farm,cutting,"At Tank Farm, Work involving cutting was observed. At the time, the cutting activity proceeded while the required atmosphere check was incomplete.",English,YES,Hot Work
V4-01327,Unsafe Act,Utility Section,confined-space maintenance,"during routine field activity, at Production Area B, During the work period, work continued after communication with the standby person became unavailable while the crew was engaged in confined-space maintenance. The observation was reported to the site team.",English,YES,Confined Space
V4-03455,Safety Observation,Gas Processing Unit,cutting,"at the start of the work period, at Compressor Station 2, The team was carrying out cutting when cutting began before the required hot-work precautions were confirmed. The observation was reported to the site team.",English,YES,Hot Work
V4-01627,Near Miss,Pipeline Station 3,tank cleaning,"at the start of the work period, at Refinery Area A, The report relates to tank cleaning. At the time of the observation, tank entry proceeded after the communication arrangement had been confirmed.",English,NO,Confined Space
V4-00724,Safety Observation,Utility Section,pump maintenance,"during the morning shift, at Tank Farm, An observation during pump maintenance found that the equipment was opened only after the isolation status was confirmed. The supervisor reviewed the situation.",English,NO,Energy Isolation
V4-03015,Safety Observation,Utility Section,welding,"while preparing the work area, at Refinery Area A, While welding was underway, the welding activity continued while the required hot-work controls were incomplete. The supervisor reviewed the situation.",English,YES,Hot Work
V4-00324,Unsafe Condition,Loading Terminal,valve maintenance,"during a planned maintenance window, at Process Unit, During a planned work activity involving valve maintenance, the valve was opened before the isolation arrangement had been confirmed. The observation was reported to the site team.",English,YES,Energy Isolation
V4-00358,Unsafe Act,Pipeline Station 3,pipeline maintenance,"during the afternoon shift, at Refinery Area A, During pipeline maintenance, it was observed that the line was opened before zero-energy conditions had been confirmed. The observation was reported to the site team.",English,YES,Energy Isolation
V4-00304,Near Miss,Tank Farm,valve maintenance,"At Utility Section, The crew was engaged in valve maintenance; the valve was opened before the isolation arrangement had been confirmed. The activity was brought to the attention of the supervisor.",English,YES,Energy Isolation
V4-00236,Unsafe Act,Gas Processing Unit,pipeline maintenance,"during routine field activity, at Refinery Area A, An observation during pipeline maintenance found that the crew approached the line while the required isolation remained unverified.",English,YES,Energy Isolation
V4-00691,Unsafe Condition,Utility Section,pipeline maintenance,"during the morning shift, at Gas Processing Unit, An observation during pipeline maintenance found that the crew approached the line after the required isolation had been confirmed. The work area was subsequently reviewed.",English,NO,Energy Isolation
V4-00877,Unsafe Condition,Production Area B,pump maintenance,"At Tank Farm, The crew was engaged in pump maintenance; the pump was approached after its energy isolation had been verified. The condition was discussed with the crew.",English,NO,Energy Isolation
V4-03352,Near Miss,Gas Processing Unit,welding,"during a planned maintenance window, at Loading Terminal, Work involving welding was observed. At the time, the crew began welding while the required authorization remained unconfirmed. The supervisor reviewed the situation.",English,YES,Hot Work
V4-00373,Unsafe Condition,Pipeline Station 3,valve maintenance,"during routine field activity, at Tank Farm, During a planned work activity involving valve maintenance, maintenance proceeded while the isolation status was still uncertain. The observation was reported to the site team.",English,YES,Energy Isolation
V4-01659,Unsafe Condition,Compressor Station 2,tank cleaning,"before the evening shutdown, at Compressor Station 2, During the work period, personnel entered the tank after the atmosphere had been checked while the crew was engaged in tank cleaning. The activity was brought to the attention of the supervisor.",English,NO,Confined Space
V4-02163,Near Miss,Tank Farm,vehicle movement,"while preparing the work area, at Loading Terminal, A field observation was recorded during vehicle movement: vehicle movement continued without effective separation from a pedestrian. The observation was reported to the site team.",English,YES,Line of Fire
V4-00340,Unsafe Act,Maintenance Workshop,pump maintenance,"during a planned maintenance window, at Maintenance Workshop, The crew was engaged in pump maintenance; the equipment was opened before the isolation status was confirmed. The condition was discussed with the crew.",English,YES,Energy Isolation
V4-02203,Unsafe Condition,Utility Section,crane operation,"during the afternoon shift, at Pipeline Station 3, The crew was engaged in crane operation; a worker entered the load travel area during crane movement.",English,YES,Line of Fire
V4-00125,Unsafe Condition,Tank Farm,valve maintenance,"during the afternoon shift, at Compressor Station 2, The report relates to valve maintenance. At the time of the observation, the valve was opened before the isolation arrangement had been confirmed. The condition was discussed with the crew.",English,YES,Energy Isolation
V4-02070,Safety Observation,Tank Farm,vehicle movement,"before the evening shutdown, at Compressor Station 2, During vehicle movement, it was observed that a pedestrian remained in the vehicle movement path while the vehicle was reversing. The work area was subsequently reviewed.",English,YES,Line of Fire
V4-02672,Unsafe Act,Pipeline Station 3,lifting operation,"during the morning shift, at Pipeline Station 3, An observation during lifting operation found that personnel remained clear of the load movement path during lifting. The observation was reported to the site team.",English,NO,Line of Fire
V4-03089,Safety Observation,Pipeline Station 3,grinding,"during a planned maintenance window, at Pipeline Station 3, An observation during grinding found that grinding started while personnel remained exposed to the work area without the required protection. The activity was brought to the attention of the supervisor.",English,YES,Hot Work
V4-03310,Unsafe Condition,Process Unit,cutting,"before the evening shutdown, at Utility Section, The team was carrying out cutting when the crew started cutting before authorization for the activity was confirmed. The work area was subsequently reviewed.",English,YES,Hot Work
V4-01415,Unsafe Act,Process Unit,confined-space maintenance,"during the morning shift, at Process Unit, During a planned work activity involving confined-space maintenance, the crew entered while atmospheric conditions remained unchecked. The condition was discussed with the crew.",English,YES,Confined Space
V4-02735,Unsafe Condition,Compressor Station 2,vehicle movement,"during a planned maintenance window, at Compressor Station 2, An observation during vehicle movement found that vehicle movement continued with effective separation from pedestrians.",English,NO,Line of Fire
V4-02488,Near Miss,Maintenance Workshop,crane operation,"during the afternoon shift, at Pipeline Station 3, Work involving crane operation was observed. At the time, personnel remained inside the exclusion zone while the load was being moved. The work area was subsequently reviewed.",English,YES,Line of Fire
V4-03510,Near Miss,Compressor Station 2,welding,"during the morning shift, at Pipeline Station 3, An observation during welding found that welding began after the required gas test had been completed.",English,NO,Hot Work
V4-00172,Near Miss,Loading Terminal,valve maintenance,"at the start of the work period, at Maintenance Workshop, While valve maintenance was underway, maintenance proceeded while the isolation status was still uncertain. The supervisor reviewed the situation.",English,YES,Energy Isolation
V4-00999,Unsafe Act,Compressor Station 2,pump maintenance,"before the evening shutdown, at Maintenance Workshop, The crew was engaged in pump maintenance; maintenance began after the isolation points had been confirmed.",English,NO,Energy Isolation
V4-02308,Unsafe Act,Loading Terminal,crane operation,"at the start of the work period, at Tank Farm, During a planned work activity involving crane operation, the suspended load was moved while a worker remained in its potential path. The activity was brought to the attention of the supervisor.",English,YES,Line of Fire
V4-02562,Near Miss,Utility Section,lifting operation,"during routine field activity, at Refinery Area A, During the work period, the load was moved after the affected area had been fully cleared while the crew was engaged in lifting operation.",English,NO,Line of Fire
V4-01261,Unsafe Act,Utility Section,tank cleaning,"during the morning shift, at Maintenance Workshop, The team was carrying out tank cleaning when the crew entered before confirmation of the required standby arrangement. The condition was discussed with the crew.",English,YES,Confined Space
V4-02146,Near Miss,Pipeline Station 3,lifting operation,"during the afternoon shift, at Utility Section, During lifting operation, it was observed that the load was moved while the affected area had not been fully cleared.",English,YES,Line of Fire
V4-00770,Safety Observation,Tank Farm,pump maintenance,"during the morning shift, at Pipeline Station 3, While pump maintenance was underway, the pump was approached after its energy isolation had been verified. The condition was discussed with the crew.",English,NO,Energy Isolation
V4-00573,Unsafe Act,Gas Processing Unit,pump maintenance,"during routine field activity, at Production Area B, The crew was engaged in pump maintenance; the pump was approached after its energy isolation had been verified.",English,NO,Energy Isolation
V4-03371,Near Miss,Utility Section,welding,"while preparing the work area, at Refinery Area A, The team was carrying out welding when the crew began welding while the required authorization remained unconfirmed.",English,YES,Hot Work
V4-03745,Near Miss,Pipeline Station 3,cutting,"before the evening shutdown, at Loading Terminal, The crew was engaged in cutting; cutting continued after personnel had moved outside the affected area. The work area was subsequently reviewed.",English,NO,Hot Work
V4-00530,Safety Observation,Gas Processing Unit,pump maintenance,"during a planned maintenance window, at Utility Section, During the work period, maintenance began after the isolation points had been confirmed while the crew was engaged in pump maintenance. The supervisor reviewed the situation.",English,NO,Energy Isolation
V4-03855,Unsafe Condition,Process Unit,welding,"while preparing the work area, at Utility Section, The crew was engaged in welding; welding started after the work area had been verified for the task. The observation was reported to the site team.",English,NO,Hot Work
V4-00831,Unsafe Condition,Maintenance Workshop,pump maintenance,"At Pipeline Station 3, The crew was engaged in pump maintenance; the crew started work after the energy source had been verified as isolated.",English,NO,Energy Isolation
V4-03276,Near Miss,Production Area B,cutting,"during a planned maintenance window, at Production Area B, The team was carrying out cutting when cutting began before the required hot-work precautions were confirmed. The work area was subsequently reviewed.",English,YES,Hot Work
V4-03721,Safety Observation,Loading Terminal,cutting,"during routine field activity, at Loading Terminal, A field observation was recorded during cutting: the cutting activity proceeded after the required atmosphere check was completed. The observation was reported to the site team.",English,NO,Hot Work
V4-00715,Unsafe Act,Tank Farm,valve maintenance,"during the morning shift, at Production Area B, During a planned work activity involving valve maintenance, the crew began work after confirming the relevant energy isolation. The condition was discussed with the crew.",English,NO,Energy Isolation
V4-03200,Unsafe Condition,Compressor Station 2,cutting,"at the start of the work period, at Pipeline Station 3, While cutting was underway, the crew started cutting before authorization for the activity was confirmed. The observation was reported to the site team.",English,YES,Hot Work
V4-03486,Near Miss,Process Unit,welding,"before the evening shutdown, at Loading Terminal, While welding was underway, the crew began welding while the required authorization remained unconfirmed. The work area was subsequently reviewed.",English,YES,Hot Work
V4-03788,Safety Observation,Tank Farm,grinding,"during a planned maintenance window, at Compressor Station 2, During the work period, the grinding activity continued after the required controls were verified while the crew was engaged in grinding. The supervisor reviewed the situation.",English,NO,Hot Work
V4-00690,Safety Observation,Gas Processing Unit,valve maintenance,"during routine field activity, at Pipeline Station 3, While valve maintenance was underway, maintenance proceeded after the isolation status had been verified. The condition was discussed with the crew.",English,NO,Energy Isolation
V4-00208,Unsafe Condition,Refinery Area A,pump maintenance,"during a planned maintenance window, at Maintenance Workshop, During the work period, the pump was approached before its energy isolation had been verified while the crew was engaged in pump maintenance. The activity was brought to the attention of the supervisor.",English,YES,Energy Isolation
V4-03528,Unsafe Act,Process Unit,welding,"during the morning shift, at Utility Section, The crew was engaged in welding; welding started after the work area had been verified for the task.",English,NO,Hot Work
V4-00736,Unsafe Condition,Process Unit,pump maintenance,"during the morning shift, at Production Area B, While pump maintenance was underway, maintenance began after the isolation points had been confirmed. The supervisor reviewed the situation.",English,NO,Energy Isolation
V4-01688,Near Miss,Pipeline Station 3,vessel inspection,"before the evening shutdown, at Maintenance Workshop, The team was carrying out vessel inspection when a technician entered the vessel after atmospheric testing was completed.",English,NO,Confined Space
V4-03388,Near Miss,Gas Processing Unit,welding,"during a planned maintenance window, at Utility Section, While welding was underway, welding started before the work area had been verified for the task. The activity was brought to the attention of the supervisor.",English,YES,Hot Work
V4-00497,Unsafe Condition,Maintenance Workshop,pipeline maintenance,"at the start of the work period, at Compressor Station 2, The report relates to pipeline maintenance. At the time of the observation, the crew approached the line while the required isolation remained unverified. The work area was subsequently reviewed.",English,YES,Energy Isolation
V4-01706,Unsafe Condition,Compressor Station 2,tank cleaning,"during a planned maintenance window, at Utility Section, During the work period, personnel entered the tank after the atmosphere had been checked while the crew was engaged in tank cleaning.",English,NO,Confined Space
V4-00020,Safety Observation,Production Area B,pump maintenance,"at the start of the work period, at Process Unit, An observation during pump maintenance found that maintenance began while the isolation points had not yet been confirmed. The activity was brought to the attention of the supervisor.",English,YES,Energy Isolation
V4-00995,Unsafe Act,Maintenance Workshop,pump maintenance,"during the afternoon shift, at Loading Terminal, Work involving pump maintenance was observed. At the time, the pump was approached after its energy isolation had been verified. The activity was brought to the attention of the supervisor.",English,NO,Energy Isolation
V4-01373,Near Miss,Refinery Area A,confined-space maintenance,"At Compressor Station 2, The report relates to confined-space maintenance. At the time of the observation, the crew entered while atmospheric conditions remained unchecked. The observation was reported to the site team.",English,YES,Confined Space
V4-01661,Safety Observation,Production Area B,tank cleaning,"during the afternoon shift, at Gas Processing Unit, Work involving tank cleaning was observed. At the time, the crew entered after confirmation of the required standby arrangement. The observation was reported to the site team.",English,NO,Confined Space
V4-02335,Unsafe Condition,Loading Terminal,vehicle movement,"before the evening shutdown, at Process Unit, Work involving vehicle movement was observed. At the time, a pedestrian remained in the vehicle movement path while the vehicle was reversing. The observation was reported to the site team.",English,YES,Line of Fire
V4-03162,Unsafe Act,Loading Terminal,cutting,"at the start of the work period, at Pipeline Station 3, During cutting, it was observed that cutting began before the required hot-work precautions were confirmed. The activity was brought to the attention of the supervisor.",English,YES,Hot Work
V4-01015,Unsafe Condition,Tank Farm,vessel inspection,"during a planned maintenance window, at Process Unit, During vessel inspection, it was observed that a technician entered the vessel before atmospheric testing was completed. The work area was subsequently reviewed.",English,YES,Confined Space
V4-02095,Safety Observation,Utility Section,crane operation,"before the evening shutdown, at Production Area B, The report relates to crane operation. At the time of the observation, a worker remained beneath the suspended load while it was moving. The work area was subsequently reviewed.",English,YES,Line of Fire
V4-02141,Unsafe Act,Refinery Area A,crane operation,"before the evening shutdown, at Pipeline Station 3, During the work period, the suspended load was moved while a worker remained in its potential path while the crew was engaged in crane operation. The activity was brought to the attention of the supervisor.",English,YES,Line of Fire
V4-03743,Near Miss,Pipeline Station 3,cutting,"at the start of the work period, at Compressor Station 2, The team was carrying out cutting when cutting continued after personnel had moved outside the affected area. The activity was brought to the attention of the supervisor.",English,NO,Hot Work
V4-03993,Unsafe Act,Loading Terminal,welding,"at the start of the work period, at Loading Terminal, During a planned work activity involving welding, welding started after the work area had been verified for the task. The work area was subsequently reviewed.",English,NO,Hot Work
V4-03586,Safety Observation,Tank Farm,grinding,"during routine field activity, at Loading Terminal, During grinding, it was observed that the grinding activity continued after the required controls were verified. The activity was brought to the attention of the supervisor.",English,NO,Hot Work
V4-01300,Near Miss,Production Area B,vessel inspection,"before the evening shutdown, at Utility Section, While vessel inspection was underway, a technician entered the vessel before atmospheric testing was completed. The supervisor reviewed the situation.",English,YES,Confined Space
V4-02725,Safety Observation,Production Area B,crane operation,"during a planned maintenance window, at Compressor Station 2, The report relates to crane operation. At the time of the observation, the suspended load was moved only after workers had cleared its potential path. The work area was subsequently reviewed.",English,NO,Line of Fire
V4-00168,Near Miss,Gas Processing Unit,pump maintenance,"during a planned maintenance window, at Utility Section, The crew was engaged in pump maintenance; the equipment was opened before the isolation status was confirmed. The supervisor reviewed the situation.",English,YES,Energy Isolation
V4-00981,Unsafe Condition,Compressor Station 2,pipeline maintenance,"At Maintenance Workshop, The team was carrying out pipeline maintenance when work started only after all relevant energy sources were isolated and verified. The supervisor reviewed the situation.",English,NO,Energy Isolation
V4-02434,Unsafe Condition,Loading Terminal,crane operation,"during a planned maintenance window, at Maintenance Workshop, The team was carrying out crane operation when a worker entered the load travel area during crane movement. The supervisor reviewed the situation.",English,YES,Line of Fire
V4-02703,Near Miss,Process Unit,crane operation,"during the morning shift, at Refinery Area A, During a planned work activity involving crane operation, workers remained outside the suspended-load area while it was moving. The observation was reported to the site team.",English,NO,Line of Fire
V4-01701,Near Miss,Tank Farm,vessel inspection,"during the morning shift, at Process Unit, During a planned work activity involving vessel inspection, entry began only after the required gas test was completed. The work area was subsequently reviewed.",English,NO,Confined Space
V4-00568,Unsafe Condition,Maintenance Workshop,pump maintenance,"during a planned maintenance window, at Loading Terminal, A field observation was recorded during pump maintenance: the crew started work after the energy source had been verified as isolated. The condition was discussed with the crew.",English,NO,Energy Isolation
V4-01175,Unsafe Act,Loading Terminal,vessel inspection,"during the morning shift, at Process Unit, The report relates to vessel inspection. At the time of the observation, entry began while the required gas test was still pending. The observation was reported to the site team.",English,YES,Confined Space
V4-00015,Unsafe Act,Compressor Station 2,valve maintenance,"At Tank Farm, The team was carrying out valve maintenance when the equipment was accessed before the isolation points were verified. The work area was subsequently reviewed.",English,YES,Energy Isolation
V4-03016,Unsafe Act,Compressor Station 2,grinding,"At Tank Farm, While grinding was underway, grinding proceeded while personnel remained within the affected hazard area. The observation was reported to the site team.",English,YES,Hot Work
V4-00888,Near Miss,Production Area B,pipeline maintenance,"at the start of the work period, at Pipeline Station 3, During the work period, the isolation status had been confirmed before the crew began work while the crew was engaged in pipeline maintenance. The supervisor reviewed the situation.",English,NO,Energy Isolation
V4-02511,Unsafe Act,Compressor Station 2,lifting operation,"during the morning shift, at Refinery Area A, The team was carrying out lifting operation when the lifting activity continued with the exclusion zone maintained.",English,NO,Line of Fire
V4-01663,Near Miss,Compressor Station 2,confined-space maintenance,"at the start of the work period, at Process Unit, The team was carrying out confined-space maintenance when the crew entered after atmospheric conditions had been checked. The observation was reported to the site team.",English,NO,Confined Space
V4-01014,Safety Observation,Gas Processing Unit,confined-space maintenance,"at the start of the work period, at Utility Section, While confined-space maintenance was underway, personnel started the task before the required confined-space controls were verified. The work area was subsequently reviewed.",English,YES,Confined Space
V4-03439,Safety Observation,Maintenance Workshop,grinding,"before the evening shutdown, at Production Area B, During the work period, the grinding activity continued before the required controls were confirmed while the crew was engaged in grinding. The activity was brought to the attention of the supervisor.",English,YES,Hot Work
V4-00012,Unsafe Condition,Tank Farm,pipeline maintenance,"At Utility Section, Work involving pipeline maintenance was observed. At the time, work started before confirmation that all relevant energy sources were isolated. The work area was subsequently reviewed.",English,YES,Energy Isolation
V4-01697,Safety Observation,Refinery Area A,tank cleaning,"At Tank Farm, During tank cleaning, it was observed that the crew entered after confirmation of the required standby arrangement. The condition was discussed with the crew.",English,NO,Confined Space
V4-00669,Near Miss,Refinery Area A,valve maintenance,"while preparing the work area, at Loading Terminal, While valve maintenance was underway, the crew began work after confirming the relevant energy isolation. The supervisor reviewed the situation.",English,NO,Energy Isolation
V4-03650,Near Miss,Maintenance Workshop,welding,"At Maintenance Workshop, While welding was underway, welding began after the required gas test had been completed. The activity was brought to the attention of the supervisor.",English,NO,Hot Work
V4-02773,Near Miss,Loading Terminal,lifting operation,"during routine field activity, at Compressor Station 2, During lifting operation, it was observed that the lifting activity continued with the exclusion zone maintained. The work area was subsequently reviewed.",English,NO,Line of Fire
V4-03020,Unsafe Act,Pipeline Station 3,cutting,"during the morning shift, at Compressor Station 2, While cutting was underway, the cutting activity proceeded while the required atmosphere check was incomplete. The activity was brought to the attention of the supervisor.",English,YES,Hot Work
V4-01027,Unsafe Condition,Production Area B,vessel inspection,"At Gas Processing Unit, The team was carrying out vessel inspection when entry began while the required gas test was still pending. The work area was subsequently reviewed.",English,YES,Confined Space
V4-01063,Unsafe Condition,Compressor Station 2,tank cleaning,"at the start of the work period, at Maintenance Workshop, While tank cleaning was underway, tank entry proceeded while the communication arrangement remained unavailable. The observation was reported to the site team.",English,YES,Confined Space
V4-03033,Unsafe Condition,Production Area B,cutting,"before the evening shutdown, at Refinery Area A, The report relates to cutting. At the time of the observation, cutting continued while personnel remained exposed to the affected area. The condition was discussed with the crew.",English,YES,Hot Work
V4-01084,Safety Observation,Loading Terminal,confined-space maintenance,"during the morning shift, at Gas Processing Unit, A field observation was recorded during confined-space maintenance: the maintenance crew entered before authorization for entry was confirmed. The condition was discussed with the crew.",English,YES,Confined Space
V4-02225,Unsafe Condition,Loading Terminal,lifting operation,"during the afternoon shift, at Process Unit, During the work period, the lifting activity continued while the exclusion zone was incomplete while the crew was engaged in lifting operation.",English,YES,Line of Fire
V4-01651,Unsafe Condition,Utility Section,vessel inspection,"during the morning shift, at Maintenance Workshop, The report relates to vessel inspection. At the time of the observation, the technician entered after the required entry authorization was confirmed.",English,NO,Confined Space
V4-01257,Safety Observation,Pipeline Station 3,vessel inspection,"during the morning shift, at Pipeline Station 3, During a planned work activity involving vessel inspection, a technician entered the vessel before atmospheric testing was completed. The activity was brought to the attention of the supervisor.",English,YES,Confined Space
V4-02111,Safety Observation,Utility Section,crane operation,"before the evening shutdown, at Loading Terminal, During the work period, a worker entered the load travel area during crane movement while the crew was engaged in crane operation. The observation was reported to the site team.",English,YES,Line of Fire
V4-01831,Safety Observation,Utility Section,confined-space maintenance,"At Gas Processing Unit, The team was carrying out confined-space maintenance when personnel started the task after the required confined-space controls were verified. The observation was reported to the site team.",English,NO,Confined Space
V4-00306,Safety Observation,Gas Processing Unit,valve maintenance,"before the evening shutdown, at Compressor Station 2, Work involving valve maintenance was observed. At the time, maintenance proceeded while the isolation status was still uncertain. The observation was reported to the site team.",English,YES,Energy Isolation
V4-01720,Safety Observation,Utility Section,confined-space maintenance,"at the start of the work period, at Gas Processing Unit, An observation during confined-space maintenance found that the maintenance crew entered after authorization for entry was confirmed. The work area was subsequently reviewed.",English,NO,Confined Space
V4-01753,Unsafe Condition,Process Unit,vessel inspection,"At Utility Section, An observation during vessel inspection found that a technician entered the vessel after atmospheric testing was completed.",English,NO,Confined Space
V4-03074,Safety Observation,Process Unit,grinding,"before the evening shutdown, at Production Area B, During the work period, grinding proceeded while personnel remained within the affected hazard area while the crew was engaged in grinding. The observation was reported to the site team.",English,YES,Hot Work
V4-01385,Unsafe Act,Compressor Station 2,vessel inspection,"At Production Area B, The report relates to vessel inspection. At the time of the observation, a technician entered the vessel before atmospheric testing was completed.",English,YES,Confined Space
V4-01925,Unsafe Condition,Refinery Area A,tank cleaning,"during a planned maintenance window, at Compressor Station 2, While tank cleaning was underway, personnel entered the tank after the atmosphere had been checked. The observation was reported to the site team.",English,NO,Confined Space
V4-02821,Unsafe Condition,Pipeline Station 3,crane operation,"during a planned maintenance window, at Tank Farm, A field observation was recorded during crane operation: the exclusion zone was maintained while the load was being moved. The condition was discussed with the crew.",English,NO,Line of Fire
V4-00695,Unsafe Act,Refinery Area A,pump maintenance,"during a planned maintenance window, at Maintenance Workshop, During pump maintenance, it was observed that the equipment was opened only after the isolation status was confirmed. The activity was brought to the attention of the supervisor.",English,NO,Energy Isolation
V4-00553,Near Miss,Pipeline Station 3,pump maintenance,"during the morning shift, at Maintenance Workshop, During a planned work activity involving pump maintenance, the equipment was opened only after the isolation status was confirmed.",English,NO,Energy Isolation
V4-01072,Unsafe Act,Utility Section,vessel inspection,"At Maintenance Workshop, The crew was engaged in vessel inspection; the technician entered before the required entry authorization was confirmed. The observation was reported to the site team.",English,YES,Confined Space
V4-02183,Unsafe Condition,Utility Section,lifting operation,"during a planned maintenance window, at Tank Farm, During a planned work activity involving lifting operation, the load was moved while the affected area had not been fully cleared. The condition was discussed with the crew.",English,YES,Line of Fire
V4-01247,Unsafe Act,Compressor Station 2,vessel inspection,"during routine field activity, at Gas Processing Unit, During the work period, the crew entered the vessel before the required atmospheric checks were completed while the crew was engaged in vessel inspection. The work area was subsequently reviewed.",English,YES,Confined Space
V4-03832,Near Miss,Compressor Station 2,grinding,"during a planned maintenance window, at Process Unit, While grinding was underway, the crew began grinding after the work area had been adequately controlled. The observation was reported to the site team.",English,NO,Hot Work
V4-01859,Unsafe Act,Loading Terminal,confined-space maintenance,"during the afternoon shift, at Loading Terminal, Work involving confined-space maintenance was observed. At the time, personnel started the task after the required confined-space controls were verified. The condition was discussed with the crew.",English,NO,Confined Space
V4-02237,Safety Observation,Maintenance Workshop,lifting operation,"while preparing the work area, at Maintenance Workshop, The crew was engaged in lifting operation; personnel remained close to the load movement path during lifting. The observation was reported to the site team.",English,YES,Line of Fire
V4-00614,Unsafe Act,Process Unit,pipeline maintenance,"At Utility Section, An observation during pipeline maintenance found that the crew approached the line after the required isolation had been confirmed. The observation was reported to the site team.",English,NO,Energy Isolation
V4-00825,Unsafe Act,Maintenance Workshop,pipeline maintenance,"At Gas Processing Unit, Work involving pipeline maintenance was observed. At the time, the isolation status had been confirmed before the crew began work. The activity was brought to the attention of the supervisor.",English,NO,Energy Isolation
V4-02086,Unsafe Act,Refinery Area A,lifting operation,"At Gas Processing Unit, A field observation was recorded during lifting operation: personnel remained close to the load movement path during lifting. The observation was reported to the site team.",English,YES,Line of Fire
V4-00650,Safety Observation,Loading Terminal,valve maintenance,"during routine field activity, at Loading Terminal, During valve maintenance, it was observed that the valve was opened after the isolation arrangement had been confirmed.",English,NO,Energy Isolation
V4-01341,Unsafe Act,Production Area B,confined-space maintenance,"during a planned maintenance window, at Compressor Station 2, The crew was engaged in confined-space maintenance; personnel started the task before the required confined-space controls were verified. The observation was reported to the site team.",English,YES,Confined Space
V4-03146,Unsafe Act,Gas Processing Unit,grinding,"before the evening shutdown, at Gas Processing Unit, The team was carrying out grinding when grinding proceeded while personnel remained within the affected hazard area. The condition was discussed with the crew.",English,YES,Hot Work
V4-03885,Unsafe Act,Production Area B,grinding,"during a planned maintenance window, at Compressor Station 2, During a planned work activity involving grinding, grinding started after the required protection had been confirmed. The supervisor reviewed the situation.",English,NO,Hot Work
V4-01665,Near Miss,Maintenance Workshop,tank cleaning,"At Production Area B, The crew was engaged in tank cleaning; tank entry proceeded after the communication arrangement had been confirmed. The activity was brought to the attention of the supervisor.",English,NO,Confined Space
V4-02776,Unsafe Condition,Process Unit,lifting operation,"during a planned maintenance window, at Compressor Station 2, The crew was engaged in lifting operation; personnel remained clear of the load movement path during lifting. The condition was discussed with the crew.",English,NO,Line of Fire
V4-01271,Unsafe Act,Compressor Station 2,confined-space maintenance,"at the start of the work period, at Tank Farm, During a planned work activity involving confined-space maintenance, the crew entered while atmospheric conditions remained unchecked. The activity was brought to the attention of the supervisor.",English,YES,Confined Space
V4-01894,Unsafe Act,Loading Terminal,tank cleaning,"while preparing the work area, at Process Unit, An observation during tank cleaning found that tank entry proceeded after the communication arrangement had been confirmed. The condition was discussed with the crew.",English,NO,Confined Space
V4-02113,Near Miss,Process Unit,vehicle movement,"At Production Area B, During the work period, a pedestrian remained in the vehicle movement path while the vehicle was reversing while the crew was engaged in vehicle movement. The work area was subsequently reviewed.",English,YES,Line of Fire
V4-02730,Unsafe Act,Utility Section,lifting operation,"during the afternoon shift, at Refinery Area A, During lifting operation, it was observed that the load was moved after the affected area had been fully cleared. The condition was discussed with the crew.",English,NO,Line of Fire
